file_id,company,bucket_code,bucket_name,disposition,current,confidence,needs_review,doc_date,doc_date_source,confidentiality,stage,version_family,superseded_by,duplicate_of,filename,ext,size_bytes,mtime_iso,sha256,origin_folder,origin_kind,company_evidence,summary,extracted_numbers,evidence,flags,gnative_url,also_relevant_to,source_rel,dest_rel,source_path,text_chars
F00001,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-01-05,filename,,,,,,Master Investment Tracker 2024-01-05.xlsx,.xlsx,5398,2024-01-05,319428176074c16c0edc485b0be5c2ca015cdfa0aad8a4ab5a77c1df235345cf,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-01-05,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-01-05.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-01-05.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-01-05.xlsx,362
F00002,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-02-09,filename,,,,,,Master Investment Tracker 2024-02-09.xlsx,.xlsx,5399,2024-02-09,230d1cf0a1c9ae3551a005323afa0c0e56a6db9b7c9f728ea055d58c05eed17f,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-02-09,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-02-09.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-02-09.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-02-09.xlsx,362
F00003,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-03-15,filename,,,,,,Master Investment Tracker 2024-03-15.xlsx,.xlsx,5401,2024-03-15,4b787ce034bc30272e6711660e753c7d60fe313bba8f0f3cc7df893ca5c7c5a8,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-03-15,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-03-15.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-03-15.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-03-15.xlsx,362
F00004,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-04-20,filename,,,,,,Master Investment Tracker 2024-04-20.xlsx,.xlsx,5401,2024-04-20,359d568caaae0064791bb094c0a295b1f4310c9b7254e7919f5d90fb1a5dfd96,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-04-20,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-04-20.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-04-20.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-04-20.xlsx,362
F00005,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-05-18,filename,,,,,,Master Investment Tracker 2024-05-18.xlsx,.xlsx,5401,2024-05-18,f8b0bd39e672c805499e8c5cf037d72353a32a00f1e706123b7c9415e1dfc76f,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-05-18,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-05-18.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-05-18.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-05-18.xlsx,362
F00006,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-06-21,filename,,,,,,Master Investment Tracker 2024-06-21.xlsx,.xlsx,5402,2024-06-21,b54cd62b2d074d2e8cfcd0cbf0019e8f6f7b5e66c6effe2a5d2e095f0e9e236a,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-06-21,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-06-21.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-06-21.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-06-21.xlsx,362
F00007,Nth Cycle,06,Board & Governance,PLACED,True,0.889,False,2024-12-01,filename,,,Nth Cycle|06||Board Decks|nth cycle board deck 2024 03|2024-12-01,,,Nth Cycle board deck 2024-03.pdf,.pdf,2678,2024-03-20,46b9f1d5e7006b3fdb73f66f031b3c3a4c34c52a927e390728a327c30b9dcb81,Board Decks,theme,name-match:'nth cycle',Board & Governance — Nth Cycle — Board Meeting,,theme-origin->+5 | name:'board deck'->+3 | name~'board'->+1 | path:'Board Decks'~'board deck'(+5.0) | method:baseline,,,04,Board Decks/Nth Cycle board deck 2024-03.pdf,COMPANIES/Nth Cycle/06_Board_and_Governance/Nth Cycle board deck 2024-03.pdf,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Board Decks/Nth Cycle board deck 2024-03.pdf,1225
F00008,Cambium,06,Board & Governance,PLACED,True,0.5,False,2024-12-01,filename,,final,Cambium|06||Cambium|cambium board deck 2024 02|2024-12-01,,,Cambium Board Deck 2024-02 (final).pdf,.pdf,2677,2024-02-15,71936f181ca89c4d665cadd92814df8ca8f7dfd74774341df68fc5cc5ada6501,Cambium,company,origin-folder,Board & Governance — Cambium — Board Meeting,,name:'board deck'->+3 | name~'board'->+1 | method:baseline,,,04,Cambium/Cambium Board Deck 2024-02 (final).pdf,COMPANIES/Cambium/06_Board_and_Governance/Cambium Board Deck 2024-02 (final).pdf,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium Board Deck 2024-02 (final).pdf,1226
F00009,Cambium,03,Cap Table & Equity,SUPERSEDED,False,0.944,False,2023-09-01,filename,,,Cambium|03||Cambium|cambium cap table|,F00010,,Cambium Cap Table 2023-09-01.xlsx,.xlsx,6658,2023-09-01,27d6019df34d7ad3b853d2177854c83154f5fc2102a109459e2c92066e3be839,Cambium,company,origin-folder,Cap Table & Equity — Ownership % (FD),Option Pool (unissued)=980000@Summary!C6; Fully diluted shares=9800000@Summary!C8; Pre-money valuation=12000000@Summary!C9; Post-money valuation=15500000@Summary!C10,name:'cap table'->+3 | content:'fully diluted'->+2 | content:'ownership %'->+2 | ext:.xlsx->+1 | method:baseline,,,,Cambium/Cambium Cap Table 2023-09-01.xlsx,COMPANIES/Cambium/14_Historical_Superseded/Cambium Cap Table 2023-09-01.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium Cap Table 2023-09-01.xlsx,532
F00010,Cambium,03,Cap Table & Equity,PLACED,True,0.944,False,2024-03-15,filename,,,Cambium|03||Cambium|cambium cap table|,,,Cambium Cap Table 2024-03-15.xlsx,.xlsx,6660,2024-03-15,d0f89aa95d3da579921f418ddfcf0538b28c6af9d13e721dd63452f8bc15a178,Cambium,company,origin-folder,Cap Table & Equity — Ownership % (FD),Option Pool (unissued)=1250000@Summary!C6; Fully diluted shares=12500000@Summary!C8; Pre-money valuation=34000000@Summary!C9; Post-money valuation=42000000@Summary!C10,name:'cap table'->+3 | content:'fully diluted'->+2 | content:'ownership %'->+2 | ext:.xlsx->+1 | method:baseline,,,,Cambium/Cambium Cap Table 2024-03-15.xlsx,COMPANIES/Cambium/03_Cap_Table_and_Equity/Cambium Cap Table 2024-03-15.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium Cap Table 2024-03-15.xlsx,532
