file_id,company,bucket_code,bucket_name,disposition,current,confidence,needs_review,doc_date,doc_date_source,confidentiality,stage,version_family,superseded_by,duplicate_of,filename,ext,size_bytes,mtime_iso,sha256,origin_folder,origin_kind,company_evidence,summary,extracted_numbers,evidence,flags,gnative_url,also_relevant_to,source_rel,dest_rel,source_path,text_chars
F00001,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-01-05,filename,,,,,,Master Investment Tracker 2024-01-05.xlsx,.xlsx,5398,2024-01-05,,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-01-05,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-01-05.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-01-05.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-01-05.xlsx,362
F00002,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-02-09,filename,,,,,,Master Investment Tracker 2024-02-09.xlsx,.xlsx,5399,2024-02-09,,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-02-09,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-02-09.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-02-09.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-02-09.xlsx,362
F00003,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-03-15,filename,,,,,,Master Investment Tracker 2024-03-15.xlsx,.xlsx,5401,2024-03-15,,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-03-15,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-03-15.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-03-15.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-03-15.xlsx,362
F00004,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-04-20,filename,,,,,,Master Investment Tracker 2024-04-20.xlsx,.xlsx,5401,2024-04-20,,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-04-20,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-04-20.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-04-20.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-04-20.xlsx,362
F00005,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-05-18,filename,,,,,,Master Investment Tracker 2024-05-18.xlsx,.xlsx,5401,2024-05-18,,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-05-18,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-05-18.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-05-18.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-05-18.xlsx,362
F00006,UNKNOWN,15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-06-21,filename,,,,,,Master Investment Tracker 2024-06-21.xlsx,.xlsx,5402,2024-06-21,,,root,no-company-match,Unclassified / Pending Review — Master Investment Tracker — as of 2024-06-21,,ext:.xlsx->+1 | method:baseline-uncertain,company-unresolved,,,Master Investment Tracker 2024-06-21.xlsx,COMPANIES/_Unresolved_Company/15_Unclassified_Pending_Review/Master Investment Tracker 2024-06-21.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Master Investment Tracker 2024-06-21.xlsx,362
F00007,Nth Cycle,06,Board & Governance,PLACED,True,0.967,False,2024-12-01,filename,,,Nth Cycle|06||Board Decks|nth cycle board deck 2024 03|2024-12-01,,,Nth Cycle board deck 2024-03.pdf,.pdf,2678,2024-03-20,,Board Decks,theme,name-match:'nth cycle',Board & Governance — Nth Cycle board deck 2024-03,,theme-origin->+5 | name:'board deck'->+3 | name~'board'->+1 | path:'Board Decks'~'board deck'(+5.0) | method:baseline,content-skipped-fast-mode,,04,Board Decks/Nth Cycle board deck 2024-03.pdf,COMPANIES/Nth Cycle/06_Board_and_Governance/Nth Cycle board deck 2024-03.pdf,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Board Decks/Nth Cycle board deck 2024-03.pdf,0
F00008,Cambium,06,Board & Governance,PLACED,True,0.65,False,2024-12-01,filename,,final,Cambium|06||Cambium|cambium board deck 2024 02|2024-12-01,,,Cambium Board Deck 2024-02 (final).pdf,.pdf,2677,2024-02-15,,Cambium,company,origin-folder,Board & Governance — Cambium Board Deck 2024-02 (final),,name:'board deck'->+3 | name~'board'->+1 | method:baseline,content-skipped-fast-mode,,04,Cambium/Cambium Board Deck 2024-02 (final).pdf,COMPANIES/Cambium/06_Board_and_Governance/Cambium Board Deck 2024-02 (final).pdf,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium Board Deck 2024-02 (final).pdf,0
F00009,Cambium,03,Cap Table & Equity,SUPERSEDED,False,0.944,False,2023-09-01,filename,,,Cambium|03||Cambium|cambium cap table|,F00010,,Cambium Cap Table 2023-09-01.xlsx,.xlsx,6658,2023-09-01,,Cambium,company,origin-folder,Cap Table & Equity — Ownership % (FD),Option Pool (unissued)=980000@Summary!C6; Fully diluted shares=9800000@Summary!C8; Pre-money valuation=12000000@Summary!C9; Post-money valuation=15500000@Summary!C10,name:'cap table'->+3 | content:'fully diluted'->+2 | content:'ownership %'->+2 | ext:.xlsx->+1 | method:baseline,,,,Cambium/Cambium Cap Table 2023-09-01.xlsx,COMPANIES/Cambium/14_Historical_Superseded/Cambium Cap Table 2023-09-01.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium Cap Table 2023-09-01.xlsx,532
F00010,Cambium,03,Cap Table & Equity,PLACED,True,0.944,False,2024-03-15,filename,,,Cambium|03||Cambium|cambium cap table|,,,Cambium Cap Table 2024-03-15.xlsx,.xlsx,6660,2024-03-15,,Cambium,company,origin-folder,Cap Table & Equity — Ownership % (FD),Option Pool (unissued)=1250000@Summary!C6; Fully diluted shares=12500000@Summary!C8; Pre-money valuation=34000000@Summary!C9; Post-money valuation=42000000@Summary!C10,name:'cap table'->+3 | content:'fully diluted'->+2 | content:'ownership %'->+2 | ext:.xlsx->+1 | method:baseline,,,,Cambium/Cambium Cap Table 2024-03-15.xlsx,COMPANIES/Cambium/03_Cap_Table_and_Equity/Cambium Cap Table 2024-03-15.xlsx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium Cap Table 2024-03-15.xlsx,532
F00011,Cambium,04,Financials & Models,PLACED,True,0.846,False,2024-03-01,mtime,,,Cambium|04||Cambium|cambium financial model|,,,Cambium Financial Model v3.xlsm,.xlsm,7294,2024-03-01,,Cambium,company,origin-folder,Financials & Models — Revenue CAGR (FY24-26E),Monthly net burn ($)=600000@Assumptions!B4; Cash on hand ($)=9000000@Assumptions!B5; Runway (months)=15@Assumptions!B6; Revenue=400000@P&L!B2; EBITDA=-1692000@P&L!B8; ARR (exit)=2550000@P&L!B9; Beginning cash=9000000@Cash Flow!B2; Net burn=7200000@Cash Flow!B3; Ending cash=9000000@Cash Flow!B5,name:'financial model'->+3 | name~'model'->+1 | content:'gross margin'->+2 | content:'ebitda'->+2 | ext:.xlsm->+1 | method:baseline,macro-enabled,,,Cambium/Cambium Financial Model v3.xlsm,COMPANIES/Cambium/04_Financials_and_Models/Cambium Financial Model v3.xlsm,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium Financial Model v3.xlsm,472
F00012,Cambium,15,Unclassified / Pending Review,PENDING,True,0.562,True,2024-04-05,mtime,,final,,,,Cambium Q1'24 Update (final) v2 #2.pdf,.pdf,2473,2024-04-05,,Cambium,company,origin-folder,Unclassified / Pending Review — Cambium Q1'24 Update (final) v2 #2,,name~'update'->+1 | method:baseline-uncertain,content-skipped-fast-mode,,,Cambium/Cambium Q1'24 Update (final) v2 #2.pdf,COMPANIES/Cambium/15_Unclassified_Pending_Review/Cambium Q1'24 Update (final) v2 _2.pdf,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium Q1'24 Update (final) v2 #2.pdf,0
F00013,Cambium,05,Non-Dilutive & Grants,PLACED,True,0.99,False,2023-11-01,mtime,,,Cambium|05||Cambium|cambium sbir grant award|,,,Cambium SBIR grant award.pdf,.pdf,2282,2023-11-01,,Cambium,company,origin-folder,Non-Dilutive & Grants — Cambium SBIR grant award,,name:'grant award'->+3 | name:'sbir'->+3 | name~'grant'->+1 | name~'award'->+1 | method:baseline,content-skipped-fast-mode,,,Cambium/Cambium SBIR grant award.pdf,COMPANIES/Cambium/05_Non_Dilutive_and_Grants/Cambium SBIR grant award.pdf,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium SBIR grant award.pdf,0
F00014,Cambium,02,Financing & Legal,PLACED,True,0.688,False,2024-01-15,mtime,,executed,Cambium|02||Cambium|cambium term sheet|,,,Cambium Term Sheet - executed.pdf,.pdf,2828,2024-01-15,,Cambium,company,origin-folder,Financing & Legal — Cambium Term Sheet - executed,,name:'term sheet'->+3 | method:baseline,content-skipped-fast-mode,,,Cambium/Cambium Term Sheet - executed.pdf,COMPANIES/Cambium/02_Financing_and_Legal/Cambium Term Sheet - executed.pdf,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium Term Sheet - executed.pdf,0
F00015,Cambium,08,Meeting Notes & Calls,PLACED,True,0.909,False,2024-01-10,filename,,,Cambium|08||Cambium|cambium call notes 2024 01 10|2024-01-10,,,Cambium call notes 2024-01-10.txt,.txt,569,2024-01-10,,Cambium,company,origin-folder,Meeting Notes & Calls — CALL NOTES — Cambium <> VoLo Earth,,name:'call notes'->+3 | name~'notes'->+1 | name~'call'->+1 | content:'call notes'->+2 | content:'attendees'->+2 | method:baseline,,,,Cambium/Cambium call notes 2024-01-10.txt,COMPANIES/Cambium/08_Meeting_Notes_and_Calls/Cambium call notes 2024-01-10.txt,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium call notes 2024-01-10.txt,567
F00016,Cambium,11,Impact & Climate,PLACED,True,0.75,False,2023-01-01,filename,,,Cambium|11||Cambium|cambium impact report|,,,Cambium impact report 2023.pdf,.pdf,2377,2023-12-31,,Cambium,company,origin-folder,Impact & Climate — Cambium impact report 2023,,name:'impact report'->+3 | name~'impact'->+1 | method:baseline,content-skipped-fast-mode,,,Cambium/Cambium impact report 2023.pdf,COMPANIES/Cambium/11_Impact_and_Climate/Cambium impact report 2023.pdf,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium impact report 2023.pdf,0
F00017,Cambium,12,Company Materials,PLACED,True,0.875,False,2024-01-08,mtime,,,Cambium|12||Cambium|cambium pitch deck|,,,Cambium pitch deck.pptx,.pptx,35239,2024-01-08,,Cambium,company,origin-folder,Company Materials — Cambium pitch deck,,name:'pitch deck'->+3 | name~'deck'->+1 | name~'pitch'->+1 | ext:.pptx->+1 | method:baseline,content-skipped-fast-mode,,,Cambium/Cambium pitch deck.pptx,COMPANIES/Cambium/12_Company_Materials/Cambium pitch deck.pptx,/Users/jackzawadzki/Downloads/VoLo-Analysis-Tool/dataroom-organizer/sample_drive/Cambium/Cambium pitch deck.pptx,0
