file_id,company,bucket_code,bucket_name,disposition,current,confidence,needs_review,doc_date,doc_date_source,confidentiality,stage,version_family,superseded_by,duplicate_of,filename,ext,size_bytes,mtime_iso,sha256,origin_folder,origin_kind,company_evidence,summary,extracted_numbers,evidence,flags,gnative_url,also_relevant_to,source_rel,dest_rel,source_path,text_chars
F00001,CaliCat (H2U),06,Board & Governance,PLACED,True,0.59,False,2022-08-31,filename,,,CaliCat (H2U)|06|||board resolution on valuation 409a 08 31 2022|2022-08-31,,,Board Resolution on Valuation 409a 08-31-2022.pdf,.pdf,6313895,2022-11-29,,,subfolder,source-root,Board & Governance — Board Resolution on Valuation 409a 08-31-2022,,name:'board resolution'->+3 | name~'board'->+1 | name~'resolution'->+1 | method:baseline,,,,Board Resolution on Valuation 409a 08-31-2022.pdf,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/CaliCat (H2U)/Board Resolution on Valuation 409a 08-31-2022.pdf,0
F00002,CaliCat (H2U),15,Unclassified / Pending Review,PENDING,True,0.562,True,2025-03-31,mtime,redacted,,,,,Calicat 032125 Redacted Deck.pdf,.pdf,5121556,2025-03-31,,,subfolder,source-root,Unclassified / Pending Review — Calicat 032125 Redacted Deck,,name~'deck'->+1 | method:baseline-uncertain,,,,Calicat 032125 Redacted Deck.pdf,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/CaliCat (H2U)/Calicat 032125 Redacted Deck.pdf,0
F00003,CaliCat (H2U),15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-10-01,filename,,,,,,Calicat Board Doc Oct 2024.pptx,.pptx,24279264,2025-01-13,,,subfolder,source-root,Unclassified / Pending Review — Calicat Board Doc Oct 2024,,name~'board'->+1 | method:baseline-uncertain,,,,Calicat Board Doc Oct 2024.pptx,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/CaliCat (H2U)/Calicat Board Doc Oct 2024.pptx,0
F00004,CaliCat (H2U),15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-01-01,filename,,,,,,Calicat FS 2024-2029.xlsx,.xlsx,488235,2025-01-13,,,subfolder,source-root,Unclassified / Pending Review — Calicat FS 2024-2029,,ext:.xlsx->+1 | method:baseline-uncertain,,,,Calicat FS 2024-2029.xlsx,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/CaliCat (H2U)/Calicat FS 2024-2029.xlsx,0
F00005,CaliCat (H2U),15,Unclassified / Pending Review,PENDING,True,0.312,True,2024-01-01,filename,,,,,,H2U A-2 for 2024 v12-1.xlsx,.xlsx,2028835,2024-09-19,,,subfolder,source-root,Unclassified / Pending Review — H2U A-2 for 2024 v12-1,,ext:.xlsx->+1 | method:baseline-uncertain,,,,H2U A-2 for 2024 v12-1.xlsx,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/CaliCat (H2U)/H2U A-2 for 2024 v12-1.xlsx,0
F00006,CaliCat (H2U),15,Unclassified / Pending Review,PENDING,True,0.15,True,2022-11-29,mtime,,,,,,Is iridium demand a potential bottleneck in the realization of large-scale PEM water electrolysis?.pdf,.pdf,688281,2022-11-29,,,subfolder,source-root,Unclassified / Pending Review — Is iridium demand a potential bottleneck in the realization of large-scale PEM water electrolysis?,,no-signal | method:baseline-uncertain,,,,Is iridium demand a potential bottleneck in the realization of large-scale PEM water electrolysis?.pdf,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/CaliCat (H2U)/Is iridium demand a potential bottleneck in the realization of large-scale PEM water electrolysis?.pdf,0
F00007,CaliCat (H2U),15,Unclassified / Pending Review,PENDING,True,0.562,True,2022-09-01,filename,,,,,,Volo - H2U  Q3 2022  review slides v0.pptx,.pptx,649373,2022-12-08,,,subfolder,source-root,Unclassified / Pending Review — Volo - H2U  Q3 2022  review slides v0,,ext:.pptx->+1 | method:baseline-uncertain,,,,Volo - H2U  Q3 2022  review slides v0.pptx,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/CaliCat (H2U)/Volo - H2U  Q3 2022  review slides v0.pptx,0
F00008,CaliCat (H2U),10,Technical & Diligence,PLACED,True,0.812,False,2023-01-01,filename,,,CaliCat (H2U)|10||00. Data Request (Q4'23 - March 2024)|business owner s|,,,Business Owner’s 2023-2024.pdf,.pdf,898755,2024-03-26,,00. Data Request (Q4'23 - March 2024),subfolder,source-root,Technical & Diligence — Business Owner’s 2023-2024,,path:'00. Data Request (Q4'23 - March 2024)'~'data request'(+5.0) | method:baseline,,,,00. Data Request (Q4'23 - March 2024)/Business Owner’s 2023-2024.pdf,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/CaliCat (H2U)/00. Data Request (Q4'23 - March 2024)/Business Owner’s 2023-2024.pdf,0
F00009,CaliCat (H2U),10,Technical & Diligence,PLACED,True,0.729,False,2023-01-01,filename,,,CaliCat (H2U)|10||00. Data Request (Q4'23 - March 2024)|h2u fs 030124|,,,H2U 2023 FS 030124.xlsx,.xlsx,138936,2024-03-26,,00. Data Request (Q4'23 - March 2024),subfolder,source-root,Technical & Diligence — H2U 2023 FS 030124,,path:'00. Data Request (Q4'23 - March 2024)'~'data request'(+5.0) | method:baseline,,,,00. Data Request (Q4'23 - March 2024)/H2U 2023 FS 030124.xlsx,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/CaliCat (H2U)/00. Data Request (Q4'23 - March 2024)/H2U 2023 FS 030124.xlsx,0
F00010,CaliCat (H2U),10,Technical & Diligence,PLACED,True,0.729,False,2024-01-01,filename,,,CaliCat (H2U)|10||00. Data Request (Q4'23 - March 2024)|h2u a 2 for investors|,,,H2U A-2 for 2024 investors.xlsx,.xlsx,549417,2024-03-26,,00. Data Request (Q4'23 - March 2024),subfolder,source-root,Technical & Diligence — H2U A-2 for 2024 investors,,path:'00. Data Request (Q4'23 - March 2024)'~'data request'(+5.0) | method:baseline,,,,00. Data Request (Q4'23 - March 2024)/H2U A-2 for 2024 investors.xlsx,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/CaliCat (H2U)/00. Data Request (Q4'23 - March 2024)/H2U A-2 for 2024 investors.xlsx,0
