file_id,company,from_rel,to_rel,disposition,bucket,renamed,reason,ok
F00001,CaliCat (H2U),Board Resolution on Valuation 409a 08-31-2022.pdf,COMPANIES/CaliCat (H2U)/06_Board_and_Governance/Board Resolution on Valuation 409a 08-31-2022.pdf,PLACED,06 Board & Governance,False,moved,True
F00002,CaliCat (H2U),Calicat 032125 Redacted Deck.pdf,COMPANIES/CaliCat (H2U)/15_Unclassified_Pending_Review/Calicat 032125 Redacted Deck.pdf,PENDING,15 Unclassified / Pending Review,False,moved,True
F00003,CaliCat (H2U),Calicat Board Doc Oct 2024.pptx,COMPANIES/CaliCat (H2U)/15_Unclassified_Pending_Review/Calicat Board Doc Oct 2024.pptx,PENDING,15 Unclassified / Pending Review,False,moved,True
F00004,CaliCat (H2U),Calicat FS 2024-2029.xlsx,COMPANIES/CaliCat (H2U)/15_Unclassified_Pending_Review/Calicat FS 2024-2029.xlsx,PENDING,15 Unclassified / Pending Review,False,moved,True
F00005,CaliCat (H2U),H2U A-2 for 2024 v12-1.xlsx,COMPANIES/CaliCat (H2U)/15_Unclassified_Pending_Review/H2U A-2 for 2024 v12-1.xlsx,PENDING,15 Unclassified / Pending Review,False,moved,True
F00006,CaliCat (H2U),Is iridium demand a potential bottleneck in the realization of large-scale PEM water electrolysis?.pdf,COMPANIES/CaliCat (H2U)/15_Unclassified_Pending_Review/Is iridium demand a potential bottleneck in the realization of large-scale PEM water electrolysis_.pdf,PENDING,15 Unclassified / Pending Review,True,moved,True
F00007,CaliCat (H2U),Volo - H2U  Q3 2022  review slides v0.pptx,COMPANIES/CaliCat (H2U)/15_Unclassified_Pending_Review/Volo - H2U Q3 2022 review slides v0.pptx,PENDING,15 Unclassified / Pending Review,True,moved,True
F00008,CaliCat (H2U),00. Data Request (Q4'23 - March 2024)/Business Owner’s 2023-2024.pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Business Owner’s 2023-2024.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00009,CaliCat (H2U),00. Data Request (Q4'23 - March 2024)/H2U 2023 FS 030124.xlsx,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/H2U 2023 FS 030124.xlsx,PLACED,10 Technical & Diligence,False,moved,True
F00010,CaliCat (H2U),00. Data Request (Q4'23 - March 2024)/H2U A-2 for 2024 investors.xlsx,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/H2U A-2 for 2024 investors.xlsx,PLACED,10 Technical & Diligence,False,moved,True
F00011,CaliCat (H2U),00. Data Request (Q4'23 - March 2024)/H2U Q4'23 Data Requests - Email Responses.gdoc,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/H2U Q4'23 Data Requests - Email Responses.gdoc,PLACED,10 Technical & Diligence,False,moved,True
F00012,CaliCat (H2U),00. Data Request (Q4'23 - March 2024)/H2U Technologies - Series A-2 (Pay to Play) Pro Forma [External] (1).xlsx,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/H2U Technologies - Series A-2 (Pay to Play) Pro Forma [External] (1).xlsx,PLACED,10 Technical & Diligence,False,moved,True
F00013,CaliCat (H2U),00. Data Request (Q4'23 - March 2024)/H2UOrgChart032124.pptx,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/H2UOrgChart032124.pptx,PLACED,10 Technical & Diligence,False,moved,True
F00014,CaliCat (H2U),00. Data Request (Q4'23 - March 2024)/Startup Package Management Liability  Technology E&OCyber Liability 2023-2024.pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Startup Package Management Liability Technology E&OCyber Liability 2023-2024.pdf,PLACED,10 Technical & Diligence,True,moved,True
F00015,CaliCat (H2U),00. Data Request (Q4'23 - March 2024)/h2u-technologies-inc_2023-12-31_summary_cap_intermediate_cap_detailed_cap_ledgers.xlsx,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/h2u-technologies-inc_2023-12-31_summary_cap_intermediate_cap_detailed_cap_ledgers.xlsx,PLACED,10 Technical & Diligence,False,moved,True
F00016,CaliCat (H2U),00. Data Request (Q4'23 - March 2024)/h2u-technologies-inc_2024-05-17_summary_cap_intermediate_cap_detailed_cap.xlsx,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/h2u-technologies-inc_2024-05-17_summary_cap_intermediate_cap_detailed_cap.xlsx,PLACED,10 Technical & Diligence,False,moved,True
F00017,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/NSL Non Compete Agreement 4-26 CLEAN.docx",COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/NSL Non Compete Agreement 4-26 CLEAN.docx,PLACED,10 Technical & Diligence,False,moved,True
F00018,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/NSL Non Compete Agreement 4-26 REDLINE.docx",COMPANIES/CaliCat (H2U)/14_Historical_Superseded/NSL Non Compete Agreement 4-26 REDLINE.docx,SUPERSEDED,14 Historical / Superseded,False,moved,True
F00019,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/NSL Restricted Stock Purchase Agreement 4-26 CLEAN.docx",COMPANIES/CaliCat (H2U)/02_Financing_and_Legal/NSL Restricted Stock Purchase Agreement 4-26 CLEAN.docx,PLACED,02 Financing & Legal,False,moved,True
F00020,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/NSL Restricted Stock Purchase Agreement 4-26 REDLINE.docx",COMPANIES/CaliCat (H2U)/14_Historical_Superseded/NSL Restricted Stock Purchase Agreement 4-26 REDLINE.docx,SUPERSEDED,14 Historical / Superseded,False,moved,True
F00021,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/NSL Restricted Stock Purchase Agreement 5-5 REDLINE.doc",COMPANIES/CaliCat (H2U)/02_Financing_and_Legal/NSL Restricted Stock Purchase Agreement 5-5 REDLINE.doc,PLACED,02 Financing & Legal,False,moved,True
F00022,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/Restricted Stock Purchase Agreement draft NSL  (1).doc",COMPANIES/CaliCat (H2U)/02_Financing_and_Legal/Restricted Stock Purchase Agreement draft NSL (1).doc,PLACED,02 Financing & Legal,True,moved,True
F00023,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/Restricted Stock Purchase Agreement draft NSL  (1)NSL.doc",COMPANIES/CaliCat (H2U)/02_Financing_and_Legal/Restricted Stock Purchase Agreement draft NSL (1)NSL.doc,PLACED,02 Financing & Legal,True,moved,True
F00024,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/Restricted Stock Purchase Agreement draft NSL .doc",COMPANIES/CaliCat (H2U)/14_Historical_Superseded/Restricted Stock Purchase Agreement draft NSL.doc,SUPERSEDED,14 Historical / Superseded,True,moved,True
F00025,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/Stock Restriction Agreement - memryx.docx",COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Stock Restriction Agreement - memryx.docx,PLACED,10 Technical & Diligence,False,moved,True
F00026,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/FINAL AGMTS FOR SIGNING/Non-Compete Agreement Final 5-5 CLEAN.pdf",COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Non-Compete Agreement Final 5-5 CLEAN.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00027,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/FINAL AGMTS FOR SIGNING/SIGNED DOCS/Signed NDA.pdf",COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Signed NDA.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00028,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/SIGNED DOCS/H2U RSPA N Lewis CLEAN for signing.pdf",COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/H2U RSPA N Lewis CLEAN for signing.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00029,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/SIGNED DOCS/NSL Consulting Agreeement Final REDLINE 5-6-2020.doc",COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/NSL Consulting Agreeement Final REDLINE 5-6-2020.doc,PLACED,10 Technical & Diligence,False,moved,True
F00030,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/SIGNED DOCS/NSL signature pages RSPA Nov2020.PDF",COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/NSL signature pages RSPA Nov2020.PDF,PLACED,10 Technical & Diligence,False,moved,True
F00031,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/SIGNED DOCS/Non-Compete Agreement Final 5-5 REDLINE.doc",COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Non-Compete Agreement Final 5-5 REDLINE.doc,PLACED,10 Technical & Diligence,False,moved,True
F00032,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/SIGNED DOCS/Non-compete and IA signed 5-6-2020.pdf",COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Non-compete and IA signed 5-6-2020.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00033,CaliCat (H2U),"2022 H2U Data Room B2/HR/2020-2021/Incubation, Founders Agreements/Nate Lewis/SIGNED DOCS/Signed NDA.pdf",COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Signed NDA__F00033.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00034,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/Equity incentive targets.xlsx,COMPANIES/CaliCat (H2U)/03_Cap_Table_and_Equity/Equity incentive targets.xlsx,PLACED,03 Cap Table & Equity,False,moved,True
F00035,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/H2U CEO Search Engagement Letter H2U edits - signed.pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/H2U CEO Search Engagement Letter H2U edits - signed.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00036,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/H2U-ReynoldLewkecomLLCs Consulting Agreement signed 11-18-2020.pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/H2U-ReynoldLewkecomLLCs Consulting Agreement signed 11-18-2020.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00037,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/NextFrontierSearch_H2U_DirectorProduct_ExecutiveSearchAgreement_v4 signed.pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/NextFrontierSearch_H2U_DirectorProduct_ExecutiveSearchAgreement_v4 signed.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00038,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/PEAK recruiting agreement.pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/PEAK recruiting agreement.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00039,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/Veritable Consulting - Fee Agreement (H2U Technologies).docx,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Veritable Consulting - Fee Agreement (H2U Technologies).docx,PLACED,10 Technical & Diligence,False,moved,True
F00040,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/Candidates/2020ResumeJH.pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/2020ResumeJH.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00041,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/Candidates/AI engineers at JPL ... Motus Ventures Mail - Fw_ thanks for the conversation today.pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/AI engineers at JPL ... Motus Ventures Mail - Fw_ thanks for the conversation today.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00042,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/Candidates/Amanda Dawn Maley 2021+Resume+.docx.pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Amanda Dawn Maley 2021+Resume+.docx.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00043,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/Candidates/Amir GohardaniResume.pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Amir GohardaniResume.pdf,PLACED,10 Technical & Diligence,False,moved,True
F00044,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/Candidates/Amir S. Gohardani Letter - H2U Technologies - Dr .pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Amir S. Gohardani Letter - H2U Technologies - Dr.pdf,PLACED,10 Technical & Diligence,True,moved,True
F00045,CaliCat (H2U),2022 H2U Data Room B2/HR/2020-2021/Recruiting and Staffing/Candidates/Bahareh Tavaoli-resume-2.pdf,COMPANIES/CaliCat (H2U)/10_Technical_and_Diligence/Bahareh Tavaoli-resume-2.pdf,PLACED,10 Technical & Diligence,False,moved,True
