file_id,company,bucket_code,bucket_name,disposition,current,confidence,needs_review,doc_date,doc_date_source,confidentiality,stage,version_family,superseded_by,duplicate_of,filename,ext,size_bytes,mtime_iso,sha256,origin_folder,origin_kind,company_evidence,summary,extracted_numbers,evidence,flags,gnative_url,also_relevant_to,source_rel,dest_rel,source_path,text_chars
F00001,Cambium,15,Unclassified / Pending Review,PENDING,True,0.562,True,2025-02-18,mtime,,,,,,Biweekly Finance Update 2:7:25.pdf,.pdf,433981,2025-02-18,,,subfolder,source-root,Unclassified / Pending Review — Biweekly Finance Update 2:7:25,,name~'update'->+1 | method:baseline-uncertain,,,,Biweekly Finance Update 2:7:25.pdf,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/Cambium/Biweekly Finance Update 2:7:25.pdf,0
F00002,Cambium,02,Financing & Legal,PLACED,True,0.688,False,2024-10-31,mtime,,signed,Cambium|02|||volo cambium series a term sheet execution 10 29 24|,,,VoLo - Cambium Series A Term Sheet (Execution Copy) 10.29.24 - signed.pdf,.pdf,426074,2024-10-31,,,subfolder,source-root,Financing & Legal — VoLo - Cambium Series A Term Sheet (Execution Copy) 10.29.24 - signed,,name:'term sheet'->+3 | method:baseline,,,,VoLo - Cambium Series A Term Sheet (Execution Copy) 10.29.24 - signed.pdf,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/Cambium/VoLo - Cambium Series A Term Sheet (Execution Copy) 10.29.24 - signed.pdf,0
F00003,Cambium,15,Unclassified / Pending Review,PENDING,True,0.15,True,2025-02-05,mtime,,,,,,volo_non-reliance_letter_2.4.25_re_cambium.pdf,.pdf,58006,2025-02-05,,,subfolder,source-root,Unclassified / Pending Review — volo_non-reliance_letter_2.4.25_re_cambium,,no-signal | method:baseline-uncertain,,,,volo_non-reliance_letter_2.4.25_re_cambium.pdf,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/Cambium/volo_non-reliance_letter_2.4.25_re_cambium.pdf,0
F00004,Cambium,09,Commercial & Customers,PLACED,True,0.875,False,2024-12-10,mtime,,,Cambium|09||Amazon Contract|gaz5 formerally atlz 06 1718 glulam and 06 1719 clt aecom r1|,,,GAZ5 (Formerally ATLz) 06 1718 (Glulam) and 06 1719 (CLT) - AECOM - R1.docx,.docx,104700,2024-12-10,,Amazon Contract,subfolder,source-root,Commercial & Customers — GAZ5 (Formerally ATLz) 06 1718 (Glulam) and 06 1719 (CLT) - AECOM - R1,,name~'contract'->+1 | path:'Amazon Contract'~'contract'(+5.0) | method:baseline,,,,Amazon Contract/GAZ5 (Formerally ATLz) 06 1718 (Glulam) and 06 1719 (CLT) - AECOM - R1.docx,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/Cambium/Amazon Contract/GAZ5 (Formerally ATLz) 06 1718 (Glulam) and 06 1719 (CLT) - AECOM - R1.docx,0
F00005,Cambium,09,Commercial & Customers,PLACED,True,0.804,False,2024-12-10,mtime,,,Cambium|09||Amazon Contract|maverick txz5 carbon smart wood|,,,Maverick - TXZ5 - Carbon Smart Wood.pdf,.pdf,3573456,2024-12-10,,Amazon Contract,subfolder,source-root,Commercial & Customers — Maverick - TXZ5 - Carbon Smart Wood,,name~'contract'->+1 | path:'Amazon Contract'~'contract'(+5.0) | method:baseline,,,,Amazon Contract/Maverick - TXZ5 - Carbon Smart Wood.pdf,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/Cambium/Amazon Contract/Maverick - TXZ5 - Carbon Smart Wood.pdf,0
F00006,Cambium,06,Board & Governance,PLACED,True,0.95,False,2026-01-23,mtime,,,Cambium|06||Board Meetings|1 23 26 board meeting deck|2026-01-23,,,1.23.26 Board Meeting Deck.pdf,.pdf,3196008,2026-01-23,,Board Meetings,subfolder,source-root,Board & Governance — 1.23.26 Board Meeting Deck,,name:'board meeting'->+3 | name~'board'->+1 | path:'Board Meetings'~'board meeting'(+5.0) | method:baseline,,,,Board Meetings/1.23.26 Board Meeting Deck.pdf,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/Cambium/Board Meetings/1.23.26 Board Meeting Deck.pdf,0
F00007,Cambium,06,Board & Governance,PLACED,True,0.95,False,2026-01-26,mtime,,,Cambium|06||Board Meetings|1 23 26 cambium board meeting deck|2026-01-26,,,1.23.26 Cambium Board Meeting Deck.pdf,.pdf,3195263,2026-01-26,,Board Meetings,subfolder,source-root,Board & Governance — 1.23.26 Cambium Board Meeting Deck,,name:'board meeting'->+3 | name~'board'->+1 | path:'Board Meetings'~'board meeting'(+5.0) | method:baseline,,,,Board Meetings/1.23.26 Cambium Board Meeting Deck.pdf,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/Cambium/Board Meetings/1.23.26 Cambium Board Meeting Deck.pdf,0
F00008,Cambium,06,Board & Governance,PLACED,True,0.95,False,,mtime,,,Cambium|06||Board Meetings|1 29 25 board meeting deck|,,,1.29.25 Board Meeting Deck.pdf,.pdf,0,,,Board Meetings,subfolder,source-root,Board & Governance — 1.29.25 Board Meeting Deck,,name:'board meeting'->+3 | name~'board'->+1 | path:'Board Meetings'~'board meeting'(+5.0) | method:baseline,,,,Board Meetings/1.29.25 Board Meeting Deck.pdf,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/Cambium/Board Meetings/1.29.25 Board Meeting Deck.pdf,0
F00009,Cambium,06,Board & Governance,PLACED,True,0.95,False,,mtime,,,Cambium|06||Board Meetings|1 29 25 cambium board meeting|,,,1.29.25 Cambium Board Meeting,.25 cambium board meeting,0,,,Board Meetings,subfolder,source-root,Board & Governance — 1.29,,name:'board meeting'->+3 | name~'board'->+1 | path:'Board Meetings'~'board meeting'(+5.0) | method:baseline,,,,Board Meetings/1.29.25 Cambium Board Meeting,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/Cambium/Board Meetings/1.29.25 Cambium Board Meeting,0
F00010,Cambium,06,Board & Governance,PLACED,True,0.95,False,,mtime,,,Cambium|06||Board Meetings|1 29 25 cambium board meeting pre reads|,,,1.29.25 Cambium Board Meeting Pre-Reads,.25 cambium board meeting pre-reads,0,,,Board Meetings,subfolder,source-root,Board & Governance — 1.29,,name:'board meeting'->+3 | name~'board'->+1 | path:'Board Meetings'~'board meeting'(+5.0) | method:baseline,,,,Board Meetings/1.29.25 Cambium Board Meeting Pre-Reads,,/Users/jackzawadzki/Library/CloudStorage/GoogleDrive-jackz@voloearth.com/Shared drives/Portfolio Company Information/Cambium/Board Meetings/1.29.25 Cambium Board Meeting Pre-Reads,0
